ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
MAN,2013-11-11,1.3265,0.282,0.168422,0.023821,0.023821,0.021808,0.011433,3.1894,0.101313,0.036465,-1.4124,-1.4813,MANPOWERGROUP INC.,Egan-Jones Ratings Company,Miscellaneous,credit_rating_financial,2,108.0
AVA,2014-06-06,0.879,1.1827,1.0,0.160284,0.160284,0.112605,0.077044,0.3305,0.079144,0.023919,-1.3043,-1.6947,AVISTA CORPORATION,Egan-Jones Ratings Company,Public Utilities,credit_rating_financial,2,72.0
RAD,2016-12-13,1.518480627,18.39536796,0.254622843,0.009057719,0.009057719,0.009057719,0.005383312,2.725603418,0.284583818,0.014672772,0.973666921,0.319615727,Rite Aid Corporation,Standard & Poor's Ratings Services,Health Care,corporate_rating,1,236.0
OTEX,2014-11-28,1.2722,0.8034,0.685639,0.184975,0.184975,0.170207,0.134256,0.4166,0.132797,0.055921,0.3815,0.3041,Open Text Corporation,Standard & Poor's Ratings Services,Technology,credit_rating_financial,2,359.0
SCI,2015-03-16,0.7189,2.2178,0.225679,0.202921,0.202921,0.134469,0.057605,0.2511,0.128229,0.014813,-0.2993,-0.4511,SERVICE CORPORATION,Egan-Jones Ratings Company,Consumer Services,credit_rating_financial,1,132.0
HSC,2012-03-29,1.4821,0.7449,0.221668,0.026538,0.026538,0.012615,-0.003485,0.9892,-0.006142,-0.002244,-1.2699,-2.5186,Harsco Corp.,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,2,76.0
FISV,2014-03-25,1.3059,0.9453,0.422002,0.236249,0.236249,0.198602,0.137737,0.5221,0.173251,0.069672,-0.1366,-0.158,Fiserv Inc.,Standard & Poor's Ratings Services,Technology,credit_rating_financial,2,33.0
DRI,2016-04-15,0.8828,0.6288,0.210305,0.054347,0.054347,0.025917,0.104894,1.1283,0.084165,0.032762,2.5712,3.7649,"Darden Restaurants, Inc.",Fitch Ratings,Consumer Services,credit_rating_financial,2,197.0
PCAR,2016-05-20,2.5212,1.2188,0.18505,0.113171,0.113171,0.106206,0.071527,0.9213,0.201208,0.065901,-0.7248,3.8482,PACCAR Inc.,Standard & Poor's Ratings Services,Consumer Durables,credit_rating_financial,2,154.0
OMC,2012-04-27,0.8929,0.8023,0.259189,0.120461,0.120461,0.11166,0.067897,0.6765,0.266446,0.051713,-0.26,-0.4084,Omnicom Group Inc.,Standard & Poor's Ratings Services,Miscellaneous,credit_rating_financial,2,364.0
OII,2016-10-14,2.4636,0.5041,0.197675,0.12205,0.12205,0.10979,0.075426,0.8931,0.146327,0.067359,-1.0331,0.5368,Oceaneering International Inc.,Standard & Poor's Ratings Services,Energy,credit_rating_financial,2,186.0
MGM,2014-11-20,1.3019,1.6744,0.353631,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288,MGM Resorts International,Moody's Investors Service,Miscellaneous,credit_rating_financial,1,56.0
X,2016-05-02,1.823556797,2.772577997,0.038385,-0.103853465,-0.126058407,-0.126058407,-0.141869708,1.259412405,-0.674055829,-0.17867247,2.457321998,-1.13625474,United States Steel Corporation,Moody's Investors Service,Basic Industries,corporate_rating,0,362.0
ATO,2014-09-26,0.692,1.0943,0.364357,0.129502,0.129502,0.096323,0.062752,0.4884,0.089404,0.029076,0.2479,0.7406,ATMOS ENERGY CORPORATION,Egan-Jones Ratings Company,Public Utilities,credit_rating_financial,2,9.0
ARW,2013-08-28,1.5713,0.4895,0.134147,0.039408,0.039408,0.034813,0.024814,1.8919,0.127081,0.046981,5.0345,5.0069,"ARROW ELECTRONICS, INC",Egan-Jones Ratings Company,Consumer Services,credit_rating_financial,2,365.0
KEP,2011-12-01,1.0691,0.9607,0.082159,0.040079,0.040079,0.011088,-0.000504,0.4308,-0.001893,-0.000788,-0.051,-0.7276,Korea Electric Power Corp.,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,2,365.0
GFF,2016-05-13,2.3167,1.9594,0.264511,0.045111,0.045111,0.012854,0.023117,0.866,0.028556,0.007178,-1.2112,-0.6431,Griffon Corp.,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,1,25.0
JOUT,2011-02-01,2.3894,0.1884,0.401439,0.038056,0.038056,0.024036,0.017098,1.6865,0.051745,0.028837,-1.2091,-1.3086,Johnson Controls Inc.,Standard & Poor's Ratings Services,Technology,credit_rating_financial,2,83.0
JOUT,2013-12-13,2.9756,0.0422,0.401089,0.060008,0.060008,0.057825,0.04532,1.479,0.097775,0.067026,-0.2361,-0.8009,JOHNSON CONTROLS INTERNATIONAL,Egan-Jones Ratings Company,Technology,credit_rating_financial,2,73.0
NUE,2016-09-23,3.0708,0.5677,0.08762,0.06174,0.06174,0.054361,0.032078,1.3515,0.096415,0.049857,0.8186,2.4884,Nucor Corp.,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,2,332.0
OIS,2012-06-15,1.9849,0.5604,0.222924,0.105963,0.105963,0.099764,0.06966,0.7997,0.103506,0.055904,-4.6459,-5.629,"Oil States International, Inc.",Moody's Investors Service,Capital Goods,credit_rating_financial,1,83.0
BYD,2013-07-31,0.7264,2.6079,0.448821,0.101243,0.101243,-0.004462,-0.001653,0.3962,-0.007771,-0.001815,-0.2278,-0.3513,Boyd Gaming Corporation,Moody's Investors Service,Miscellaneous,credit_rating_financial,1,365.0
TKR,2015-02-09,2.7761,0.3336,0.291919,0.067746,0.067746,0.066316,0.055523,1.0249,0.093953,0.049743,-1.1221,-0.9891,TIMKEN COMPANY,Egan-Jones Ratings Company,Capital Goods,credit_rating_financial,2,97.0
DOV,2014-06-12,2.0249,0.526,0.388337,0.162356,0.162356,0.146188,0.140198,0.6591,0.148311,0.07347,0.3816,0.4477,DOVER CORPORATION,Egan-Jones Ratings Company,Capital Goods,credit_rating_financial,2,27.0
