rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
2,Amphenol Corp.,APH,Standard & Poor's Ratings Services,2013-08-14,Technology,credit_rating_financial,3.0466,0.6988,0.312947,0.192983,0.192983,0.18145,0.129377,0.823,0.229098,0.107277,0.2064,0.1509
1,"TRINITY INDUSTRIES, INC",TRN,Egan-Jones Ratings Company,2013-08-14,Capital Goods,credit_rating_financial,2.1588,1.4292,0.199481,0.150791,0.150791,0.101236,0.066948,0.5715,0.117842,0.037767,2.6877,1.7233
2,SPX Corporation,SPXC,Egan-Jones Ratings Company,2013-08-14,Technology,corporate_rating,1.275248344,2.177108434,0.287797846,0.069871958,0.054290681,0.054290681,0.044560332,0.688019603,0.097405005,0.030658382,2.320200952,1.110523533
2,Deere & Company,DE,Egan-Jones Ratings Company,2013-08-14,Capital Goods,corporate_rating,0.607189087,4.79814905,0.26659428,0.156670572,0.156670572,0.156670572,0.101065806,0.587977353,0.344568924,0.059424405,8.451948052,5.444155844
2,"McCormick & Company, Incorporated",MKC,Moody's Investors Service,2013-08-14,Consumer Non-Durables,credit_rating_financial,1.0824,0.6892,0.403019,0.144064,0.144064,0.13106,0.101589,0.9637,0.227209,0.09274,0.4282,0.3802
1,"M/I HOMES, INC",MHO,Egan-Jones Ratings Company,2013-08-14,Miscellaneous,credit_rating_financial,7.2485,1.0859,0.198667,0.037839,0.037839,0.016746,0.017518,0.9165,0.055821,0.016056,-0.5463,-0.5209
2,Microsoft Corp.,MSFT,Standard & Poor's Ratings Services,2013-08-15,Technology,credit_rating_financial,2.7118,0.1976,0.738147,0.343794,0.343794,0.347493,0.280839,0.5466,0.276943,0.153499,-0.314,-0.5456
2,WALGREENS BOOTS ALLIANCE INC,WBA,Egan-Jones Ratings Company,2013-08-15,Consumer Services,credit_rating_financial,1.2337,0.2957,0.283975,0.048358,0.048358,0.047129,0.029693,2.1407,0.116637,0.063565,1.0942,0.6451
1,Eldorado Gold Corp.,EGO,Standard & Poor's Ratings Services,2013-08-16,Miscellaneous,credit_rating_financial,4.9049,0.0955,0.528139,0.413607,0.413607,0.388945,0.277158,0.1447,0.052374,0.041046,-2.5043,-3.1118
2,"INTERDIGITAL, INC",IDCC,Egan-Jones Ratings Company,2013-08-16,Finance,credit_rating_financial,4.7096,0.3863,1.0,0.49549581,0.49417,0.472119617,0.399765678,0.6275,0.524005,0.20216647,4.839,4.8389
1,"Sportsman's Warehouse, Inc.",SPWH,Moody's Investors Service,2013-08-16,Consumer Services,credit_rating_financial,2.2196,-2.9827,0.308603,0.101474,0.101474,0.089479,0.053277,3.1636,-0.670921,0.168549,1.3944,2.7549
1,"Sprouts Farmers Market Holdings, LLC",SFM,Moody's Investors Service,2013-08-16,Consumer Services,credit_rating_financial,1.4843,1.3812,0.295466,0.039383,0.039383,0.019371,0.010865,1.6269,0.05042,0.017675,0.153,0.1352
