ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
RCI,2014-03-05,-1.1689404238375742,0.9825586578914824,1.7058290759126427,0.7514299017488035,0.7619221859919595,0.6265594478801271,0.5291058898845397,-0.22070936941361244,0.8076329033338613,0.7060737321456759,-0.7033987338823543,-0.2585502896405028,Rogers Communications Inc.,6,9,2,2,-2.884798777797107
LYB,2016-01-21,0.4692400599547001,0.0003352942985683352,-1.166360791741538,0.04328521015068532,0.054266567754185424,0.22186106053519103,0.19754452372344616,1.6976840058009741,0.870257290152427,1.9132098377446445,1.094157903447108,0.7958852123029717,LyondellBasell Industries N.V.,6,0,2,2,1.3035186418389728
GIS,2015-01-29,-1.059145730244576,0.2668733406625884,-0.3207440632020714,0.305388737432183,0.3161890757406625,0.37190010536136753,0.27560754302523444,0.05222337613624885,0.31623777142393694,0.5431817510599409,-0.7066297448394744,-0.3295754200603468,"GENERAL MILLS, INC",1,3,2,2,-1.2310262290309246
MSFT,2012-11-21,0.8488134998167485,-0.5928937601530099,1.3207230082963732,1.112532202778885,1.1227750951705053,1.3037901772295266,1.187705226780404,-0.2804384414858046,0.2929235764444746,1.444752380672006,0.1297395661447479,0.03891264037372662,Microsoft Corp.,6,10,2,2,-1.9830904443371948
BKD,2015-09-10,-1.3886760850682272,0.7186469977983356,-0.04832094667827731,-1.0273354585702736,-1.015614687038635,-1.266763489285511,-0.8425258258702742,-0.8283254917143343,-0.43459043948716625,-0.9950250178235466,-1.171708956169449,-0.5501337599873968,BROOKDALE SENIOR LIVING INC,1,7,2,0,0.4190903212801013
VMC,2011-12-13,-0.9904834294746787,-0.12503329810601096,-1.0875041247958523,-0.4505803396210396,-0.439257898497673,-0.7057388232636481,-0.43424518277294283,-0.9601459313203625,-0.30108238764889245,-0.7191444187164863,1.2444494592030972,0.8071410762650364,Vulcan Materials Co.,6,8,2,1,1.1443393289330375
HUN,2013-12-10,0.2363460334879678,0.6263459283272506,-1.0226495530305286,-0.30484637388415226,-0.2936245825307901,-0.2990345370051178,-0.26275374256848666,0.8716776913435909,0.15940370199211387,-0.056040089056874,0.6715826897400424,0.28415213451927035,Huntsman International LLC,6,0,2,1,0.1631908669490038
UHS,2013-02-25,-0.08294474006007357,0.32142752900639515,1.8170019971327256,0.10827345064594746,0.11920992474253297,0.11875165291816149,-0.016034788244646995,0.19270278392806062,0.10606716080025477,0.21697095452482604,0.3515788962943042,-0.0964092548573529,Universal Hospital Services Inc.,6,7,2,1,-1.4855921813691124
COP,2016-03-01,-0.8535066569296506,-0.17134498538156975,0.11185527016004272,-2.193761209849688,-2.1812348575256792,-2.2118635545792547,-1.6337025674193106,-0.9557711384578709,-0.569857696301578,-1.492477927384125,-2.436500128918727,-0.5508569020855183,ConocoPhillips,2,5,2,2,-1.9830904443371948
SPH,2012-08-02,0.30926383711001515,0.08920001813440755,-0.02096679591502812,0.006185807569255329,0.017192787520423268,0.035494710914633895,0.23570245270110804,0.8500151967324058,0.4468634699478126,1.1504784875562304,-0.8334060147622727,-0.355891504239811,Suburban Propane Partners L.P.,6,4,2,1,-0.25942289600503354
SMG,2012-06-15,0.44816329489038326,0.36131940630782833,-0.301351888129616,-0.14611951995451403,-0.13500735178515544,-0.08574970773897644,-0.045096594760292666,1.025580090509248,0.2789161432742581,0.3517357167300438,-1.5920485110074183,-1.0101150163142307,Scotts Miracle-Gro Company (The),5,0,2,1,0.6196420622143591
PDC,2016-01-12,-0.6448798191449996,-0.27494857812401285,2.1556887774685407,-1.6368912312291735,-1.6247494758314,-1.8740464017693643,-1.4252353018024158,-1.1304476084215416,-0.4374302313908513,-1.232750797232778,1.2959368586936733,0.34068298201589703,Pioneer Energy Services Corp.,6,5,2,1,-0.0662840831973257
DHR,2014-02-07,0.15395555344839798,-0.48483693440281894,0.32483004486271777,0.358888264146796,0.3696516535186845,0.4785438788182626,0.49154169473140924,-0.3952960926177476,-0.027116951412036634,0.37734434040145626,0.38977744358609273,0.1326381444824274,DANAHER CORPORATION,1,10,2,2,0.43361760841667185
CVS,2015-08-19,-0.3172857201417755,-0.42448083110974466,-1.0218501254510268,-0.39327773124302695,-0.3819948656182391,-0.2553680956485142,-0.25575322319026106,1.6925096947261125,-0.022690564697883116,0.2641044683082573,0.8529528933808729,0.48550004740491937,CVS HEALTH CORPORATION,1,4,2,2,-0.48997923009710803
MUR,2014-09-05,-0.5119005257759427,-0.5151727263280521,2.280770931069346,1.230424946264095,1.240586417159656,1.270095735831375,1.0512140892288513,-1.0967677477784123,-0.09874544111922236,-0.00010547131256263735,1.2718270281902941,-0.7323026867924327,MURPHY OIL CORPORATION,1,5,2,2,-1.7469695445507232
ROK,2015-02-04,0.6263261115756699,-0.3091457744095132,-0.07803704256278102,0.34527830155414113,0.41408699249549985,0.5188995748712324,0.4462339431210923,0.5657069859035889,0.4234783392838288,1.3388339596195902,-0.14873995749633578,-0.0736145582861325,"ROCKWELL AUTOMATION, INC",1,1,2,2,-0.3293178955710125
APA,2015-04-10,0.10086199335277532,-0.36608382156069824,2.1846902335471268,-4.422564519365173,-4.408498865346095,-4.116017667304135,-5.055556064503739,-1.2576363780171873,-0.8424398866902608,-2.5510000497204306,-1.835251281786803,-2.6744422756211996,Apache Corporation,5,5,2,2,-0.24284111393818264
MMP,2016-09-06,-1.6262156680827897,0.5072842501833543,1.455588055963504,1.9312583662967238,1.9409358132917405,1.709972054941215,2.1034222041633317,-0.8422240216480485,0.6460012171055546,1.3795098364853229,-0.48475356559630356,-0.45892353274172726,"Magellan Midstream Partners, L.P.",5,8,2,2,-0.994905329244453
EVA,2016-10-17,-0.6134105370817653,-0.2525428170443935,-1.2311467257853896,-0.2882645079044264,-0.27705416865825605,-0.3327633970884151,-0.18947853517504867,-0.10132154629308811,-0.20707605399793078,-0.31336475510399514,0.9917911473936211,-0.5865738335405616,"Enviva Partners, LP",6,8,2,1,0.18296942149362969
YORW,2015-03-20,0.2418100836363367,-0.023281701836684283,2.280770931069346,2.1347871552664275,2.144324037049378,1.6073242906651284,1.3204591401869226,-1.4135486829048294,-0.05231094203132372,-0.13376947065717928,-0.29633903516437776,-0.23078792126479578,York Water Co. (The),6,9,2,2,1.3636311708215818
PH,2016-06-28,0.6682321558402337,0.35502923065384917,-0.7859347427512182,-0.045956886930000725,-0.034913895125437966,0.13857186924832804,0.10687974227669654,0.5157613707133124,0.15686217336113725,0.5727529200870373,1.9925759962962377,2.2465302688639737,Parker-Hannifin Corporation,6,1,1,2,1.3909927143552445
NUE,2014-09-15,0.9887003153108406,-0.30623946056529594,-1.4422198318519774,-0.4667442466051327,-0.4554106420339583,-0.33443221320013405,-0.3155198902223643,1.0380238057946893,-0.1341494412639981,-0.06630479828029681,0.09368214936310933,-0.455276381290332,NUCOR CORPORATION,1,1,2,2,-2.1327345624908367
VLO,2016-09-07,0.35715998236565755,0.29704436669900647,-1.2392654740695388,-0.5083689587560004,-0.534613616776257,-0.3475321441936447,-0.2803519314038477,1.3975839139427781,-0.04170883550964139,0.056770440819630716,2.117916553209048,2.2723204033064146,Valero Energy Corporation,5,5,1,2,1.1682179670993065
JBHT,2014-04-17,-0.8457768632298328,0.5476895273227783,2.280770931069346,-0.11067822904619776,-0.1282677938397348,0.04775792065224373,-0.034663434748697736,1.8106586654585408,0.4876091494022166,1.1690248307059659,2.663481313234315,4.533683786480292,"J.B. Hunt Transport Services, Inc.",1,11,1,2,-0.3112782617956752
CL,2012-06-15,-0.5379057461011839,1.4168957231467125,0.5570949989837408,0.7157153225989921,0.7069463157911038,0.8602477283984656,0.5952580367670245,0.9545585344898134,2.1082716570387916,2.180548803418486,1.6141395970951946,1.375545381662367,Colgate-Palmolive Company,2,3,1,2,0.18296942149362969
CVX,2014-11-10,-0.02498235301549192,-0.7001113203770575,-0.275200916248647,0.4762530390978895,0.4869353716101385,0.646222788352054,0.32315585470878,0.523095144113398,0.13979234974468382,1.042772332789256,-0.9079225656315036,-1.176783549450837,Chevron Corporation,5,5,2,2,-0.195015724964337
